id`level`need_exp`villa_pic1`villa_animation`prize`vitality_limit`stealcoin_parm`stealcoin_extra`stealcoin_limit`losscoin_parm`losscoin_limit`science_box`share_prize`tap_coin
int`int`int`string`string`int`int`int`int`string`int`string`string`int`string
1`1`40```401`20`20`10`24000`20`24000`1;1|2;3|3;5`-1`1
2`2`140```402`22`20`100`108000`20`108000`4;1|5;3|6;5`-1`5
3`3`240```403`24`20`200`288000`20`288000`7;1|8;3|9;5`-1`10
4`4`400```404`26`20`300`1104000`20`1104000`7;1|8;3|9;5`-1`50
5`5`500```405`28`20`400`1440000`20`1440000`7;1|8;3|9;5`-1`100
6`6`1600```406`30`20`500`5400000`20`5400000`10;1|11;3|12;5`-1`500
7`7`2200```407`32`20`600`7200000`20`7200000`13;1|14;3|15;5`-1`1000
8`8`3100```408`34`20`700`21600000`20`21600000`13;1|14;3|15;5`-1`3000
9`9`3700```409`36`20`800`25200000`20`25200000`16;1|17;3|18;5`-1`5000
10`10`4600```410`38`20`900`58800000`20`58800000`19;1|20;3|21;5`-1`10000
11`11`7800```411`40`20`1000`76800000`20`76800000`22;1|23;3|24;5`-1`20000
12`12`9400```412`42`20`1100`86400000`20`86400000`22;1|23;3|24;5`-1`30000
13`13`10600```413`44`20`1200`172800000`20`172800000`25;1|26;3|27;5`-1`40000
14`14`12300```414`46`20`1300`183600000`20`183600000`28;1|29;3|30;5`-1`50000
15`15`13600```415`48`20`1400`228000000`20`228000000`31;1|32;3|33;5`-1`60000
16`16`20800```416`50`20`1500`480000000`20`480000000`31;1|32;3|33;5`-1`70000
17`17`23000```417`50`20`1600`567600000`20`567600000`34;1|35;3|36;5`-1`80000
18`18`25700```418`50`20`1700`607200000`20`607200000`37;1|38;3|39;5`-1`90000
19`19`28200```419`50`20`1800`1396800000`20`1396800000`40;1|41;3|42;5`-1`100000
20`20`31200```420`50`20`1900`1483200000`20`1483200000`40;1|41;3|42;5`519`120000
21`21`49100```421`50`20`2000`1563840000`20`1563840000`40;1|41;3|42;5`520`140000
22`22`51500```422`50`20`2100`3291840000`20`3291840000`43;1|44;3|45;5`521`160000
23`23`53800```423`50`20`2200`3702240000`20`3702240000`43;1|44;3|45;5`522`180000
24`24`56200```424`50`20`2300`4114080000`20`4114080000`43;1|44;3|45;5`523`200000
25`25`58500```425`50`20`2400`9051840000`20`9051840000`43;1|44;3|45;5`524`220000
26`26`81000```426`50`20`2500`9874080000`20`9874080000`46;1|47;3|48;5`525`240000
27`27`84000```427`50`20`2600`10697760000`20`10697760000`46;1|47;3|48;5`526`260000
28`28`87000```428`50`20`2700`23040000000`20`23040000000`46;1|47;3|48;5`527`280000
29`29`90000```429`50`20`2800`24685920000`20`24685920000`46;1|47;3|48;5`528`300000
30`30`94000```-1`50`20`2900`26331840000`20`26331840000`49;1|50;3|51;5`529`320000
