id`remark`type`level`pic1`desc`parm`next_level_parm`levelup_cost_chip`levelup_cost_coin`levelup_exp`unlock_villa_level`share_prize
int`string`int`int`string`int`int`int`string`long`int`int`int
100``1`0`icon/yumi.png`800515`0`50`6;1`500`7`1`-1
101``1`1`icon/yumi.png`800515`50`65`6;1`4600`12`1`-1
102``1`2`icon/yumi.png`800515`65`80`6;1`39000`16`2`-1
103``1`3`icon/yumi.png`800515`80`95`6;1`110000`20`3`-1
104``1`4`icon/yumi.png`800515`95`110`6;1`260000`21`4`-1
105``1`5`icon/yumi.png`800515`110`125`6;2`980000`45`5`-1
106``1`6`icon/yumi.png`800515`125`140`6;2`1800000`50`6`-1
107``1`7`icon/yumi.png`800515`140`155`6;3`3400000`56`7`-1
108``1`8`icon/yumi.png`800515`155`170`6;6`5800000`57`8`-1
109``1`9`icon/yumi.png`800515`170`185`6;10`11000000`59`9`-1
110``1`10`icon/yumi.png`800515`185`200`6;15`23000000`100`10`-1
111``1`11`icon/yumi.png`800515`200`215`6;20`33000000`120`11`-1
112``1`12`icon/yumi.png`800515`215`230`6;25`53000000`137`12`-1
113``1`13`icon/yumi.png`800515`230`245`6;30`77000000`158`13`-1
114``1`14`icon/yumi.png`800515`245`260`6;35`140000000`174`14`-1
115``1`15`icon/yumi.png`800515`260`275`6;45`270000000`267`15`-1
116``1`16`icon/yumi.png`800515`275`290`6;55`380000000`295`16`-1
117``1`17`icon/yumi.png`800515`290`305`6;75`500000000`330`17`-1
118``1`18`icon/yumi.png`800515`305`320`6;90`660000000`361`18`-1
119``1`19`icon/yumi.png`800515`320`335`6;100`830000000`400`19`-1
120``1`20`icon/yumi.png`800515`335`350`6;150`1600000000`630`20`-1
121``1`21`icon/yumi.png`800515`350`365`6;180`2100000000`660`21`-1
122``1`22`icon/yumi.png`800515`365`380`6;180`2600000000`690`22`-1
123``1`23`icon/yumi.png`800515`380`395`6;190`3200000000`720`23`-1
124``1`24`icon/yumi.png`800515`395`410`6;190`3900000000`750`24`-1
125``1`25`icon/yumi.png`800515`410`425`6;290`6100000000`1040`25`-1
126``1`26`icon/yumi.png`800515`425`440`6;290`7100000000`1080`26`-1
127``1`27`icon/yumi.png`800515`440`455`6;300`8300000000`1120`27`-1
128``1`28`icon/yumi.png`800515`455`470`6;300`9500000000`1160`28`-1
129``1`29`icon/yumi.png`800515`470`485`6;340`11000000000`1200`29`-1
130``1`30`icon/yumi.png`800515`485`485`6;340`12000000000`1240`0`-1
200``2`0`icon/qiezi.png`800516`0`50`7;1`500`7`1`-1
201``2`1`icon/qiezi.png`800516`50`65`7;1`4600`12`1`-1
